Agency text,Corrected name,Parent organisation
Information Centre for Health and Social Care,NHS Information Centre for Health and Social Care,National Health Service
Information Centre for health and social care,NHS Information Centre for Health and Social Care,National Health Service
Information Centre for Health and Social Care,NHS Information Centre for Health and Social Care,National Health Service
Infrastructure Planning Commission,,
IPO,Infrastructure Planning Commission,
IPS,Identity & Passport Service,Home Office
ISD Scotland (part of NHS National Services Scotland),ISD Scotland,NHS Scotland
ISD Scotland (part of NHS National Services Scotland),ISD Scotland,NHS Scotland
ISD Scotland (part of NHS National Services Scotland),ISD Scotland,NHS Scotland
ISD Scotland (part of NHS National Services Scotland),ISD Scotland,NHS Scotland
Isle of Wight NHS Primary Care Trust,,National Health Service
JAC,Judicial Appointments Commission,Ministry of Justice
Joint Nature Conservation Committee,,"Department for Environment, Food and Rural Affairs"
Keep Britain Tidy,,"Department for Environment, Food and Rural Affairs"
Kingston Hospital NHS Trust,,National Health Service
Kingston Primary Care Trust,,National Health Service
Kirklees Primary Care Trust,Kirklees Primary Care Trust,National Health Service
Kirklees Primary Care Trust,,National Health Service
Lambeth PCT,Lambeth Primary Care Trust,National Health Service
Lancashire Care NHS Foundation Trust,,National Health Service
Learning and Skills Council/Skills Funding Agency,,"Department for Business, Innovation and Skills"
Leasehold Advisory Service,,Department for Communities and Local Government
Leeds Teaching Hospitals NHS Trust,,National Health Service
Leicestershire Partnership NHS Trust,,National Health Service
Lewisham PCT,Lewisham Primary Care Trust,National Health Service
Lincolnshire Primary Care Trust,,National Health Service
Liverpool Heart and Chest Hospital NHS Foundation Trust,,National Health Service
Liverpool Primary Care Trust,,National Health Service
Local Better Regulation Office (LBRO),,"Department for Business, Innovation and Skills"
London Ambulance Service NHS Trust,,National Health Service
London Thames Gateway Development Corporation,,Department for Communities and Local Government
LSB,Legal Services Board,Ministry of Justice
Manchester Mental Health and Social Care Trust,,National Health Service
Manchester Primary Care Trust,,National Health Service
Marine Management Organisation,,"Department for Environment, Food and Rural Affairs"
Medway Primary Care Trust,,National Health Service
Mersey Care NHS Trust,,National Health Service
Met Office,,Ministry of Defence
MHRA,Medicines and Healthcare products Regulatory Agency,Department of Health
Mid Staffordshire NHS Foundation Trust,,National Health Service
Milton Keynes Hospital NHS Foundation Trust,,National Health Service
Milton Keynes Primary Care Trust,,National Health Service
Monitor,Monitor - Independent Regulator of NHS Foundation Trusts,National Health Service
Monitor - the Independent Regulator of NHS foundation trusts,Monitor - Independent Regulator of NHS Foundation Trusts,National Health Service
Museum of Science and Industry,,"Department for Culture, Media and Sport"
Museums Libraries and Archives Council,,"Department for Culture, Media and Sport"
National College for Leadership of Schools and Childrenâs Services,National College for Leadership of Schools and Children's Services,Department for Education
National College for Leadership of Schools and Children's Services,,Department for Education
National College for Leadership of Schools and Children’s Services,National College for Leadership of Schools and Children's Services
National Employment Savings Trust,,Department for Work and Pensions
National Forest Company,,"Department for Environment, Food and Rural Affairs"
National Fraud Authority ,,Attorney General's Office
National Health Service in Scotland,NHS Scotland,Department of Health
National Health Service in Scotland,NHS Scotland,Department of Health
National Health Service in Scotland,NHS Scotland,Department of Health
National Health Service in Scotland,NHS Scotland,Department of Health
National Heritage Memorial Fund,,"Department for Culture, Media and Sport"
National Museum of Science and Industry,,"Department for Culture, Media and Sport"
National Museums Liverpool,,"Department for Culture, Media and Sport"
National Offender Management Service,,Ministry of Justice
National Patient Safety Agency,,National Health Service
National Policing Improvement Agency,,Home Office
National Treatment Agency,National Treatment Agency for Substance Misuse,National Health Service
National Treatment Agency,National Treatment Agency for Substance Misuse,National Health Service
National Treatment Agency for Substance Misuse,National Treatment Agency for Substance Misuse,National Health Service
Natural Environment Research Council,,"Department for Business, Innovation and Skills"
Neighbourhood Statistics,Office of National Statistics,UK Statistics Authority
Newham Primary Care Trust,,National Health Service
Newham University Hospital NHS Trust,,National Health Service
NHM,Natural History Museum,"Department for Culture, Media and Sport"
NHS,National Health Service,Department of Health
NHS Ashton Leigh and Wigan,,National Health Service
NHS Bassetlaw,,National Health Service
NHS Bath & North East Somerset,,National Health Service
NHS Bedfordshire,,National Health Service
NHS Blackpool,,National Health Service
NHS Blood and Transplant,,National Health Service
NHS Bolton,,National Health Service
NHS Bournemouth & Poole,,National Health Service
NHS Bradford and Airedale,,National Health Service
NHS Bury,,National Health Service
NHS Central Lancashire,,National Health Service
NHS Choices,,National Health Service
NHS Connecting for Health,,National Health Service
NHS Connecting for Health and NHS Business Services Authority,,National Health Service
NHS Cornwall and Isles of Scilly,,National Health Service
NHS Coventry,,National Health Service
NHS Derbyshire County,,National Health Service
NHS Devon,,National Health Service
NHS East Lancashire,,National Health Service
NHS East of England,,National Health Service
NHS East Riding of Yorkshire,,National Health Service
NHS Eastern and Coastal Kent,,National Health Service
NHS Gloucestershire,,National Health Service
NHS Hammersmith and Fulham,,National Health Service
NHS Harrow,,National Health Service
NHS Information Centre for health and social care,NHS Information Centre for Health and Social Care,National Health Service
NHS Information Centre for Health and Social care,NHS Information Centre for Health and Social Care,National Health Service
NHS Information Centre for Health and Social Care,NHS Information Centre for Health and Social Care,National Health Service
NHS Institute for Innovation and Improvement,,National Health Service
NHS Islington,,National Health Service
NHS Knowsley,,National Health Service
NHS Leeds,,National Health Service
NHS Leeds (Leeds Primary Care Trust),NHS Leeds,National Health Service
NHS Leicester City,,National Health Service
NHS Litigation Authority,,National Health Service
NHS London,,National Health Service
NHS North Lincolnshire,,National Health Service
NHS North Staffordshire,,National Health Service
NHS North West,,National Health Service
NHS Redbridge,,National Health Service
NHS Rotherham,,National Health Service
NHS South East Coast,,National Health Service
NHS Surrey,,National Health Service
NHS Tameside & Glossop,,National Health Service
NHS Telford & Wrekin,,National Health Service
NHS Trafford,,National Health Service
NHS Walsall,,National Health Service
NHS Wandsworth,,National Health Service
NHS West Sussex,,National Health Service
NHS Wiltshire,,National Health Service
NHSBSA,Business Services Authority (NHS),National Health Service
Nomis - Official Labour Market Statistics,Office of National Statistics,UK Statistics Authority
Nomis - Official Labour Market Statistics,Office of National Statistics,UK Statistics Authority
NOMS,National Offender Management Service,Ministry of Justice
Norfolk and Waveney Mental Health NHS Foundation Trust,,National Health Service
North Bristol NHS Trust,,National Health Service
North Cumbria University Hospitals NHS Trust,,National Health Service
North East Lincolnshire Care Trust Plus,,National Health Service
North Lancashire Teaching PCT,,National Health Service
North Staffordshire Combined Healthcare NHS Trust,,National Health Service
North Staffordshire Shared Services,,National Health Service
North Tyneside PCT,North Tyneside Primary Care Trust,National Health Service
North West Specialised Commissioning Team,North West Specialised Commissioning Group,National Health Service
Northern Devon Healtchare Trust,Northern Devon Healthcare NHS Trust,National Health Service
Northern Devon Healthcare NHS Trust,,National Health Service
Northern Ireland Statistics and Research Agency,,Northern Ireland Executive
Northern Ireland Statistics and Research Agency,,Northern Ireland Executive
Nottingham City PCT,Nottingham City Primary Care Trust,National Health Service
Nottingham University Hospitals NHS Trust,,National Health Service
Nottinghamshire County Teaching Primary Care Trust,,National Health Service
Nottinghamshire Healthcare NHS Trust,,National Health Service
NPIA,National Policing Improvement Agency,Home Office
Office of Government Commerce,,Cabinet Office
Office of the Advocate General,Office of the Advocate General of Scotland,
Office of the Children's Commissioner,,Department for Education
Office of the First and Deputy First Minister,,Northern Ireland Executive
Office of the Immigration Services Commissioner,,Home Office
Office of the Prime Minister,,
Office of the Third Sector,Office for Civil Society,Cabinet Office
Ofwat,,
Oldham Primary Care Trust,,National Health Service
One North East,,"Department for Business, Innovation and Skills"
Ordnance Survey,,Department for Communities and Local Government
Oxfordshire Learning Disability NHS Trust,,National Health Service
Partnerships for Schools,,Department for Education
Passenger Focus,,Department for Transport
Planning Inspectorate,,Department for Communities and Local Government
Police Service of Northern Ireland (PSNI),Police Service of Northern Ireland,Northern Ireland Executive
Portsmouth City Primary Care Trust,,National Health Service
Portsmouth NHS Trust,,National Health Service
Probation Trusts,National Offender Management Service,Ministry of Justice
Public Lending Right,,"Department for Culture, Media and Sport"
Qualifications and Curriculum Development Agency,Qualifications and Curriculum Development Agency,Department for Education
Qualifications and Curriculum Devlopment Agency,Qualifications and Curriculum Development Agency,Department for Education
Queen Elizabeth II Conference Centre,,Department for Communities and Local Government
Queen Victoria Hospital NHS Foundation Trust,,National Health Service
Railway Heritage Committee,,Department for Transport
Regional Development Agencies,,"Department for Business, Innovation and Skills"
Renewable Fuels Agency,,Department for Transport
Richmond and Twickenham PCT,Richmond and Twickenham Primary Care Trust,National Health Service
Robert Jones & Agnes Hunt Orthopaedic & District Hospital NHS Trust,,National Health Service
Rotherham Metropolitan District Council,,Local Authorities
Royal Botanic Gardens Kew,"Royal Botanic Gardens, Kew","Department for Environment, Food and Rural Affairs"
"Royal Botanic Gardens, Kew",,"Department for Environment, Food and Rural Affairs"
Royal Cornwall Hospitals NHS Trust,,National Health Service
Royal Free Hampstead NHS Trust,,National Health Service
Royal Liverpool and Broadgreen University Hospital NHS Trust,,National Health Service
Royal United Hospital Bath NHS Trust,,National Health Service
Rural Payments Agency,Rural Payments Agency,"Department for Environment, Food and Rural Affairs"
"Rural Payments Agency (RPA), Scottish Government Rural Payments & Inspections Directorate (SGRPID), Welsh Assembly Government (WAG), Northern Ireland Department of Agriculture and Rural Development (DARD)",Rural Payments Agency,"Department for Environment, Food and Rural Affairs"
"Rural Payments Agency (RPA), Scottish Government Rural Payments & Inspections Directorate (SGRPID), Welsh Assembly Government (WAG), Northern Ireland Department of Agriculture and Rural Development (DARD) ",Rural Payments Agency,"Department for Environment, Food and Rural Affairs"
Salford Primary Care Trust,,National Health Service
Sandwell & West Birmingham Hospitals NHS Trust,,National Health Service
Sandwell Mental Health and Social Care NHS Foundation Trust,,National Health Service
Sandwell PCT,Sandwell Primary Care Trust,National Health Service
Scarborough and North East Yorkshire Healthcare NHS Trust,,National Health Service
School Food Trust,,Department for Education
Science and Technology Facilities Council,,"Department for Business, Innovation and Skills"
Science and Technology Facilities Council ,,"Department for Business, Innovation and Skills"
Scottish Court Service,,Scottish Government
Scottish Prison Service,,Scottish Government
Sea Fish Industry Authority,,"Department for Environment, Food and Rural Affairs"
Security Industry Authority,,Home Office
Sefton Primary Care Trust,,National Health Service
Serious Organised Crime Agency,,Home Office
Sheffield Primary Care Trust,,National Health Service
Shropshire County Primary Care Trust,,National Health Service
Solihull NHS Care Trust,,National Health Service
South Central Ambulance Service NHS Trust ,,National Health Service
South Central Strategic Health Authority,,National Health Service
South East Coast Ambulance Service,,National Health Service
South Staffordshire and Shropshire Healthcare NHS Foundation Trust,,National Health Service
South Tyneside PCT,South Tyneside Primary Care Trust,National Health Service
South Warwickshire NHS Foundation Trust,,National Health Service
South West London and St George's Mental Health NHS Trust,,National Health Service
Southampton City Primary Care Trust,,National Health Service
Southport and Ormskirk Hospital NHS Trust,,National Health Service
Southwark PCT,Southwark Primary Care Trust,National Health Service
St Helens and Knowsley Hospitals NHS Trust,,National Health Service
Standards for England,,Department for Communities and Local Government
Stockport Primary Care Trust,,National Health Service
Stockton Primary Care Trust,,National Health Service
Student Loans Company Limited,,"Department for Business, Innovation and Skills"
Sunderland Teaching PCT,Sunderland Teaching Primary Care Trust,National Health Service
Surrey and Sussex Healthcare NHS Trus,Surrey and Sussex Healthcare NHS Trust,National Health Service
Surrey and Sussex Healthcare NHS Trust,,National Health Service
Sustainable Development Commission,,
Swindon PCT,Swindon Primary Care Trust,National Health Service
Tameside Hospital NHS Foundation Trust,,National Health Service
Tenants Service Authority,Tenant Services Authority,Department for Communities and Local Government
The Christie NHS Foundation Trust,,National Health Service
The Churches Conservation Trust,,"Department for Culture, Media and Sport"
The Geffrye Museum,,
The Genome Analysis Centre,,Biotechnology and Biological Sciences Research Council
The Institute of Food Research,,Biotechnology and Biological Sciences Research Council
The John Innes Centre,,Biotechnology and Biological Sciences Research Council
Biological and Biotechnology Science Research Council,Biotechnology & Biological Science Research Council
The Mid Yorkshire Hospitals NHS Trust,,National Health Service
The National Archives,,Ministry of Justice
The NHS Information Centre for Health and Social care,NHS Information Centre for Health and Social Care,National Health Service
The Pennine Acute Hospitals NHS Trust,,National Health Service
The Pensions Ombudsman ,Pensions Ombudsman,Department for Work and Pensions
The Royal Marsden NHS Foundation Trust,,National Health Service
The Royal Orthopaedic Hospital NHS Foundation Trust,,National Health Service
The Royal Wolverhampton Hospitals NHS Trust,,National Health Service
The Shrewsbury and Telford Hospital NHS Trust,,National Health Service
Thurrock Thames Gateway Development Corporation,,Department for Communities and Local Government
Torbay Care Trust,,National Health Service
Trinity House and the Northern Lighthouse Board,,
UK Border Agency,,Home Office
UK Film Council,,"Department for Culture, Media and Sport"
UK Hydrographic Office,,Ministry of Defence
UK National Air Quality Archive,,"Department for Environment, Food and Rural Affairs"
UK Trade and Investment,,
UKBA,UK Border Agency,Home Office
United Kingdom Atomic Energy Authority,,Department of Energy and Climate Change
United Lincolnshire Hospitals NHS Trust,,National Health Service
University College London Hospital NHS Foundation Trust,,National Health Service
University Hospitals Coventry and Warwickshire NHS Trust,,National Health Service
University Hospitals of Morecambe Bay NHS Foundation Trust ,,National Health Service
Valuatin Tribunal Service,Valuation Tribunals,Department for Communities and Local Government
Valuation Office Agency ,,Her Majesty's Revenue and Customs
Vehicle and Operator Services Agency,,Department for Transport
Vehicle Operator Services Agency (VOSA),Vehicle Operator Services Agency,Department for Transport
Veterinary Laboratories Agency,,"Department for Environment, Food and Rural Affairs"
Veterinary Laboratories Agency,,"Department for Environment, Food and Rural Affairs"
Victoria And Albert Museum,Victoria and Albert Museum,"Department for Culture, Media and Sport"
Victoria and Albert Museum,,"Department for Culture, Media and Sport"
VOSA,Vehicle and Operator Services Agency,Department for Transport
Wakefield District PCT,Wakefield District Primary Care Trust,National Health Service
Walsall Hospitals NHS Trust,,National Health Service
Warrington Primary Care Trust,,National Health Service
Warwickshire PCT,Warwickshire Primary Care Trust,National Health Service
West London Mental Health NHS Trust,,National Health Service
West Norhamptonshire Development Corporation,West Northampton Development Corporation,Department for Communities and Local Government
Western Sussex Hospitals NHS Trust,,National Health Service
Whittington Hospital NHS Trust,,National Health Service
Wolverhampton City PCT,Wolverhampton City Primary Care Trust,National Health Service
Worcestershire Acute Hospitals NHS Trust,,National Health Service
Worcestershire Mental Health Partnership NHS Trust,,National Health Service
Worcestershire PCT,Worcestershire Primary Care Trust,National Health Service
"Wrightington, Wigan & Leigh NHS Foundation Trust",,National Health Service
