ApplicationNumber,ApplicationDate,JobRole,LAName,OfficerAuthorised,Theme,ResponseDate,AcceptanceStatus,ODICertificateURL,DGUURL,InventoryURL,LocalCodes,DatasetURL,SchemaURL,GuidanceURL,FrequencyOfPublishing,FOINumberEst, SubmissionComplete,LastLAUpdate,TechReviewStatus,LastTechUpdate,AdminReviewStatus,PaymentAmount,Closed,LastAdminUpdate,ApplicantNotes,AdministrationNotes,TechnicalNotes,LastUpdated
"122","23/07/2014","Knowledge & Information Manager","Suffolk Coastal District Council","True","Toilets","24/07/2014","Accepted","https://certificates.theodi.org/datasets/2200/certificate","","","","http://www.suffolkcoastal.gov.uk/assets/Documents/Council/Access-to-information/Transparency/SCDCPublicToilets3Oct2014.csv","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","0","True","29/01/2015","Accepted","29/01/2015","Accepted","2000.0000","True","23/03/2015","29/01/20152 ward labels changed
28/01/2015oops - incorrect url in submission
28/01/2015Validated with csvlint and the esd checker
24/07/20140 FOI","23/03/2015 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
29/01/2015 Written to confirm data set is complete and acceptable. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","28/01/2015Not passed technical review. Notes sent by email.
28/01/2015Not passed technical review. Notes sent by email.
23/10/2014Previous errors not addressed. Not passed technical review.
22/10/2014Not passed technical review. Notes sent by email.","23/03/2015"
"125","23/07/2014","Knowledge & Information Manager","Waveney District Council","True","Toilets","24/07/2014","Accepted","https://certificates.theodi.org/datasets/24030/certificate","","","","http://www.waveney.gov.uk/site/scripts/download.php?fileID=6017","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","","True","28/01/2015","Accepted","28/01/2015","Accepted","2000.0000","True","06/02/2015","29/01/2015Please change bank ref to LGA KIT
28/01/2015Checked and passed csvlint
28/01/2015Checked and passed esd validator
24/07/20140 FOI requests","06/02/2015 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
28/01/2015 Written to confirm data set is complete and acceptable. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","23/10/2014Not passed technical review, notes sent by email.
22/10/2014Not passed technical review, notes sent by email.","06/02/2015"
"168","30/07/2014","Principal analyst","North Devon District Council","True","Toilets","30/07/2014","Accepted","https://certificates.theodi.org/datasets/2302/certificates/14603","","","","http://www.northdevon.gov.uk/ndpcopendata.csv","http://schemas.opendata.esd.org.uk/PublicToilets","http://www.northdevon.gov.uk/index/lgcl_council_government_and_democracy/nonlgcl_open_data/nonlgcl_public_toilet_data.htm","Annually","10","True","13/08/2014","Accepted","13/08/2014","Accepted","2000.0000","True","01/09/2014","","01/09/2014Payment of grant transfer by BACS has been requested
13/08/2014Written to confirm data set is complete and acceptable. Forewarned that grant will be made in the batch of 3 submissions when completed and expect a delay until early September 2014 before payments are made.","13/08/2014Passed technical review
12/08/2014Not passed technical review. An email has been sent containing comments.
08/08/2014Not passed technical review. An email has been sent containing comments.","01/09/2014"
"205","13/08/2014","Systems & Information Management Officer","St Helens Metropolitan Borough Council","True","Planning","11/02/2015","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PlanningApplications","","","","False","","Not started","","Not started","","False","","","11/02/2015Council has advised by email that it wishes to withdraw participation from the scheme for this data theme. It has not got the time and manpower resources to deliver by end March after 9 months in the scheme.","","11/02/2015"
"206","13/08/2014","Systems & information Management Officer","St Helens Metropolitan Borough Council","True","Premises","09/03/2015","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PremisesLicences","","","","False","","Not started","","Not started","","False","","","09/03/2015Programme Manager requested withdrawal of this data theme from the scheme due to no progress being made in its delivery and the scheme timetable fast coming to and end.","","09/03/2015"
"204","13/08/2014","Systems & Information Management Officer","St Helens Metropolitan Borough Council","True","Toilets","23/03/2015","Accepted","https://certificates.theodi.org/datasets/24250/certificate","http://data.gov.uk/dataset/public_conveniences","","","http://www.sthelens.gov.uk/media/733398/wc_-_open_data.csv","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","","True","24/03/2015","Accepted","24/03/2015","Accepted","2000.0000","True","25/03/2015","","25/03/2015 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
24/03/2015Written to confirm data set is complete and acceptable. 
23/03/2015Following an appeal, a couple of extra days have been offered to achieve hopeful result
23/03/2015This data theme withdrawn by Programme Manager. Scheme entering its final week and time has run out to review and complete all necessary actions.","24/03/2015Technical review passed.
05/03/2015Not passed technical review, notes sent by email.","25/03/2015"
"233","10/09/2014","Development Officer","Barnsley Metropolitan Borough Council","True","Planning","10/09/2014","Accepted","https://certificates.theodi.org/datasets/24275/certificate","http://data.gov.uk/dataset/planning-applications-in-barnsley","","","https://www.barnsley.gov.uk/media/3612240/barnsley_mbc_planning_applications.csv","http://schemas.opendata.esd.org.uk/PlanningApplications","https://www.barnsley.gov.uk/services/environment-and-planning/planning/development-management/planning-applications-open-data","Annually","","True","19/03/2015","Accepted","20/03/2015","Accepted","2000.0000","True","20/03/2015","19/03/2015A statement has been added to our data.gov.uk entry for Planning Applications, that explains our position regarding Ordnance Survey derived data.
06/03/2015First submission to meet Incentive scheme deadline, further amendments to be made.","20/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
20/03/2015Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","19/03/2015Not passed technical review - notes sent by email.
18/03/2015Incorrect dataset URL provided.
06/03/2015Not passed technical review - notes sent by email.","20/03/2015"
"234","10/09/2014","Development Officer","Barnsley Metropolitan Borough Council","True","Premises","10/09/2014","Accepted","https://certificates.theodi.org/datasets/24241/certificate","http://data.gov.uk/dataset/licensed-premises-in-barnsley","","","https://www.barnsley.gov.uk/media/3611077/barnsley_mbc_premises_licences_and_club_certificates.csv","http://schemas.opendata.esd.org.uk/PremisesLicences","","Annually","","True","16/03/2015","Accepted","16/03/2015","Accepted","2000.0000","True","20/03/2015","03/03/2015This data includes records for Premises Licences and Club Premises Certificates. It does not include records for Temporary Event Notices.","20/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
16/03/2015 Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","05/03/2015Not passed technical review, notes sent via email.
04/03/2015Not passed technical review, notes sent via email.","20/03/2015"
"235","10/09/2014","Development Officer","Barnsley Metropolitan Borough Council","True","Toilets","10/09/2014","Accepted","https://certificates.theodi.org/datasets/24027/certificate","","","","https://www.barnsley.gov.uk/media/3586606/barnsley_mbc_public_toilets.csv","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","","True","04/02/2015","Accepted","04/02/2015","Accepted","3000.0000","True","20/03/2015","","20/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
04/02/2015 Written to confirm data set is complete and acceptable. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","04/02/2015Technical review passed.
30/01/2015Not passed technical review, notes sent by email.","20/03/2015"
"179","01/08/2014","Systems Officer","Daventry District Council","True","Planning","01/08/2014","Accepted","https://certificates.theodi.org/datasets/24252/certificate","http://data.gov.uk/dataset/daventry-district-council-planning-applications-2009-to-2014","","","http://www.daventrydc.gov.uk/EasysiteWeb/getresource.axd?AssetID=39846&type=full&servicetype=Attachment","http://schemas.opendata.esd.org.uk/PlanningApplications","http://schemas.opendata.esd.org.uk/PlanningApplications/LocalOpenDataIncentiveSchemePlanningApplicationsSchemaGuidance.pdf","Annually","100","True","17/03/2015","Accepted","17/03/2015","Accepted","2000.0000","True","17/03/2015","17/03/2015Updated as per your email ""(Case 135111) Daventry Planning Applications""

16/03/2015Updated as per your email ""(Case 135102) Daventry Planning Applications""
16/03/2015GeoX and GeoY data has been provided under an Open Government Licence for Public Sector Information.

http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/
09/03/2015I have updated the data, however I cannot find any directions on how to reference my data from data.gov.uk

Data.gov.uk link field on online form is now mandatory guidance for obtaining this link can be found here: http://data.gov.uk/library/user-guide-editors-and-administrators-v30


06/03/2015My problem has now been resolved and the file released. Thanks for your patience. Andy.
05/03/2015My data is just a few hundred lines at present, my Council's website wouldn't let me store a 5Mb *.csv.  Once I've got the limit lifted then I'll publish the full file. Should be today or tomorrow.","17/03/2015 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
17/03/2015 Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences.","16/03/2015Not passed technical review, notes sent by email.
16/03/2015Not passed technical review, notes sent by email.
09/03/2015Not passed technical review, notes sent by email.
06/03/2015Not passed technical review, notes sent by email.","17/03/2015"
"180","01/08/2014","Systems Officer","Daventry District Council","True","Premises","20/02/2015","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PremisesLicences","","","","False","","Not started","","Not started","","False","","","20/02/2015Council has advised by email that it wishes to withdraw participation from the scheme for this data theme. It has not got the time and manpower resources to deliver by end March after 8 months in the scheme.","","20/02/2015"
"181","01/08/2014","Systems Officer","Daventry District Council","True","Toilets","01/08/2014","Accepted","https://certificates.theodi.org/datasets/2414/certificates/14732","http://data.gov.uk/dataset/daventry-district-council-area-public-toilets","","","http://www.daventrydc.gov.uk/EasysiteWeb/getresource.axd?AssetID=38800&type=full&servicetype=Attachment","http://schemas.opendata.esd.org.uk/PublicToilets","http://schemas.opendata.esd.org.uk/PublicToilets/LocalOpenDataIncentiveSchemePublicToiletsSchemaGuidance.pdf","Annually","1","True","21/08/2014","Accepted","21/08/2014","Accepted","2000.0000","True","17/03/2015","16/03/2015Can I add a data.gov.uk link?

http://data.gov.uk/dataset/daventry-district-council-area-public-toilets","17/03/2015 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
22/09/2014Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.
21/08/2014Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","21/08/2014Passed technical review.
21/08/2014Not passed technical review, comments sent through by email.
19/08/2014The entries on rows 7 & 8 appear to be incorrect, please check all fields for validity. 

And though it's not a mandatory field, please do check OpeningHours entries for syntax errors.","17/03/2015"
"201","13/08/2014","Data Support Officer","Manchester City Council","True","Planning","05/12/2014","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PlanningApplications","","","","False","","Not started","","Not started","","False","","","05/12/2014Council has written to withdraw participation from the scheme for this data theme due to capacity and data availability problems","","05/12/2014"
"202","13/08/2014","Data Support Officer","Manchester City Council","True","Premises","13/08/2014","Accepted","https://certificates.theodi.org/datasets/2756/certificate","","","","http://open.manchester.gov.uk/open/download/downloads/id/169/licensed_premises","http://schemas.opendata.esd.org.uk/PremisesLicences","","Annually","","True","19/01/2015","Accepted","20/01/2015","Accepted","2000.0000","True","04/02/2015","19/01/2015This data does not include the UPRN due to Ordnance Survey Licence restrictions
19/01/2015This data does not include the UPRN due to Ordnance Survey Licence restrictions","04/02/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
20/01/2015Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","20/01/2015Note provided. Technical review passed.
19/01/2015Spreadsheet passed review, awaiting co-ordinates note.
15/01/2015Not passed review, notes sent by email.
12/01/2015Not passed review, notes sent by email.
09/01/2015Not passed review, notes sent by email.
22/12/2014Not passed review, notes sent by email.
15/12/2014Not passed review, notes sent by email.
08/12/2014Not passed review, notes sent by email.
04/12/2014Not passed review, notes sent by email.","04/02/2015"
"203","13/08/2014","Data Support Officer","Manchester City Council","True","Toilets","13/08/2014","Accepted","https://certificates.theodi.org/datasets/2893/certificate","","","","http://open.manchester.gov.uk/open/download/downloads/id/171/public_toilets","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","","True","15/01/2015","Accepted","19/01/2015","Accepted","2000.0000","True","04/02/2015","","04/02/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
19/01/2015 Written to confirm data set is complete and acceptable. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","15/01/2015Technical review not passed, notes sent via email.
09/01/2015Technical review not passed, notes sent via email.
09/01/2015Download link not working.
19/12/2014Technical review not passed, notes sent via email.
15/12/2014Technical review not passed, notes sent via email.
08/12/2014Technical review not passed, notes sent via email.
05/12/2014Technical review not passed, notes sent via email.","04/02/2015"
"287","24/02/2015","Communications Officer","Tamworth Borough Council","True","Toilets","25/02/2015","Accepted","https://certificates.theodi.org/datasets/24202/certificate","http://data.gov.uk/dataset/public-toilets-tamworth","","","http://www.tamworth.gov.uk/sites/default/files/foi_docs/public-toilets.csv","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","5","True","23/03/2015","Accepted","23/03/2015","Accepted","2000.0000","True","23/03/2015","","23/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
23/03/2015Written to confirm data set is complete and acceptable. 
25/02/2015Application to participate accepted but forewarned the council by phone today that we have only 2 to 3 weeks left for them to deliver the results successfully.","20/03/2015Not passed technical review, notes sent by email.","23/03/2015"
"260","27/11/2014","Open Data Project Manager","London Borough of Hounslow","True","Planning","23/03/2015","Accepted","https://certificates.theodi.org/datasets/24400/certificate","http://data.gov.uk/dataset/hounslow-planning-applications","","","http://data.hounslow.gov.uk/Download/planning/hounslow-planning-applications/planning-applications/CSV","http://schemas.opendata.esd.org.uk/PlanningApplications","http://www.hounslow.gov.uk/opendata","Annually","","True","25/03/2015","Accepted","25/03/2015","Accepted","2000.0000","True","26/03/2015","25/03/2015Geospatial information not included due to Ordnance Survey licensing restriction.
27/11/2014I am filling this in on behalf of Barbara Munden, Head of Business Systems, who is the person with authorisation to make this submission.","26/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised bar the DataShare issue in hand have been met.
25/03/2015Written to confirm data set is complete and acceptable with the exception of incorrect PublisherLabel data which is due to a limitation in the current version of DataShare.  Council asked to correct this anomaly in the published data once the new version of DataShare v1.5 is released. Reminded need of two versions of data needed - one with and one without georeferences.
24/03/2015 Following an appeal, a couple of extra days have been offered to achieve hopeful result
23/03/2015This data theme withdrawn by Programme Manager. Scheme entering its final week and time has run out to review and complete all necessary actions.
14/01/2015Funding has now become available due to withdrawal by other participants. This means that this appliaction is now approved and can move to stage 3 - data submission
27/11/2014Written to explain this request is placed on the waiting list pending grant slots coming available hopefully later in the year if other councils decide to withdraw","25/03/2015Technical review passed pending DataShare upgrade.
25/03/2015Not passed technical review, notes sent by email.
06/03/2015Not passed technical review, notes sent by email.","26/03/2015"
"261","27/11/2014","Open Data Project Manager","London Borough of Hounslow","True","Premises","23/03/2015","Accepted","https://certificates.theodi.org/datasets/24402/certificate","http://data.gov.uk/dataset/hounslow-premises-licences","","","http://data.hounslow.gov.uk/Download/environmental-services/hounslow-premises-licenses/premises-licences/CSV","http://schemas.opendata.esd.org.uk/PremisesLicences","http://www.hounslow.gov.uk/opendata","Quarterly","","True","25/03/2015","Accepted","25/03/2015","Accepted","3000.0000","True","26/03/2015","27/11/2014I am making this application on behalf of, and on the request of, Barbara Munden, Head of Business Systems, who has the authorisation to submit this application.","26/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised bar the DataShare issue in hand have been met.
25/03/2015Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.
24/03/2015 Following an appeal, a couple of extra days have been offered to achieve hopeful result
23/03/2015This data theme withdrawn by Programme Manager. Scheme entering its final week and time has run out to review and complete all necessary actions.
14/01/2015Funding has now become available due to withdrawal by other participants. This means that this appliaction is now approved and can move to stage 3 - data submission
27/11/2014Written to explain this request is placed on the waiting list pending grant slots coming available hopefully later in the year if other councils decide to withdraw","25/03/2015Technical review passed.
25/03/2015Not passed technical review, notes sent by email.
06/03/2015Not passed technical review, notes sent by email.","26/03/2015"
"262","27/11/2014","Open Data Project Manager","London Borough of Hounslow","True","Toilets","13/03/2015","Accepted","https://certificates.theodi.org/datasets/24347/certificate","http://data.gov.uk/dataset/hounslow-public-toilets","","","http://data.hounslow.gov.uk/Download/environmental-services/hounslow-public-toilets/public-toilets/CSV","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","","True","18/03/2015","Accepted","18/03/2015","Accepted","2000.0000","True","23/03/2015","27/11/2014I am making this application on behalf of, and on the request of, Barbara Munden, Head of Business Systems, who has the authorisation to submit this application.","23/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
18/03/2015 Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.
27/11/2014Written to explain this request is placed on the waiting list pending grant slots coming available hopefully later in the year if other councils decide to withdraw","18/03/2015Technical review passed.
17/03/2015Not passed technical review, notes sent by email.","23/03/2015"
"150","29/07/2014","Policy Business Partner","Forest Heath District Council","True","Planning","16/01/2015","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PlanningApplications","","","","False","","Not started","","Not started","","False","","","15/01/2015 Council has advised by phone its wish to withdraw participation from the scheme for this data theme. They do not wish to be included.","","16/01/2015"
"157","29/07/2014","Policy Business Partner","St Edmundsbury Borough Council","True","Planning","21/01/2015","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PlanningApplications","","","","False","","Not started","","Not started","","False","","","21/01/2015Council has advised by phone its wish to withdraw participation from the scheme for this data theme. They do not wish to be included.","","21/01/2015"
"169","31/07/2014","Policy Business Partner","Forest Heath District Council","True","Premises","16/01/2015","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PremisesLicences","","","","False","","Not started","","Not started","","False","","","15/01/2015 Council has advised by phone its wish to withdraw participation from the scheme for this data theme. They do not wish to be included.","","16/01/2015"
"170","31/07/2014","Policy Business Partner","St Edmundsbury Borough Council","True","Premises","21/01/2015","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PremisesLicences","","","","False","","Not started","","Not started","","False","","","21/01/2015Council has advised by phone its wish to withdraw participation from the scheme for this data theme. They do not wish to be included.","","21/01/2015"
"149","29/07/2014","Policy Business Partner","Forest Heath District Council","True","Toilets","29/07/2014","Accepted","https://certificates.theodi.org/datasets/2637/certificates/15023","","","","http://www.forest-heath.gov.uk/download/downloads/id/3046/public_toilets","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","0","True","26/09/2014","Accepted","29/09/2014","Accepted","2000.0000","True","20/01/2015","","20/01/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
29/09/2014Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","25/09/2014Not passed technical review, notes sent by email.

19/09/2014Not passed technical review, notes sent by email.","20/01/2015"
